id;btag;wpid;kurs
338;2003-09-15;164;62.45
339;2003-09-15;171;54.38
342;2003-09-18;139;72.75
343;2003-10-17;171;54.33
344;2003-10-17;1268;33.67
345;2003-10-17;164;63.86
346;2003-10-17;182;29.39
347;2003-11-18;164;63.86
348;2003-11-18;171;54.45
349;2003-11-18;182;29.36
352;2003-12-03;142;42.65
353;2003-12-03;143;48.38
354;2003-12-11;112;38.48
356;2003-12-12;145;3.23
357;2003-12-15;182;30.05
358;2003-12-15;164;65.25
359;2003-12-15;171;54.67
360;2003-12-15;1268;30.95
362;2004-02-09;168;15.92
363;2004-02-09;177;15.55
364;2004-02-09;147;32.61
365;2004-02-15;1268;32.98
368;2004-03-01;182;31.04
369;2004-03-01;171;53.92
370;2004-03-15;163;2.29
371;2004-04-02;147;32.50
372;2004-04-15;1268;33.97
373;2004-05-13;161;9.04
374;2004-06-11;131;9.85
375;2004-06-15;1268;33.28
376;2004-08-02;158;0.77
377;2004-08-04;158;0.60
378;2004-08-10;145;3.00
379;2004-08-24;145;2.01
380;2004-09-01;1268;32.76
387;2004-11-02;1268;33.02
390;2004-12-21;163;1.72
391;2004-12-28;164;70.26
392;2004-12-28;165;34.86
396;2005-01-05;1268;33.68
401;2005-03-01;1268;34.53
403;2005-03-07;171;55.72
404;2005-03-08;172;28.00
408;2005-05-02;1268;34.09
418;2005-06-06;630;11.89
419;2005-06-07;131;10.35
420;2005-06-07;169;7.32
421;2005-06-09;630;7.63
422;2005-07-01;1268;36.53
423;2005-07-02;631;5.72
424;2005-07-15;631;8.58
425;2005-08-10;183;37.14
427;2005-08-10;1268;37.12
428;2005-09-01;1268;37.19
430;2005-11-02;1268;37.86
432;2006-01-02;171;55.57
433;2006-01-02;172;15.08
434;2006-01-02;173;0.85
435;2006-01-02;1268;40.00
438;2006-02-03;180;19.45
439;2006-02-03;179;8.55
440;2006-02-16;179;8.26
441;2006-02-16;633;1.46
442;2006-03-01;1268;41.67
443;2006-03-06;182;44.53
444;2006-04-06;176;16.40
447;2006-04-22;176;13.95
448;2006-04-30;633;1.38
449;2006-05-02;1268;41.93
450;2006-05-26;178;3.17
452;2006-05-30;178;2.76
456;2006-07-03;1268;40.04
457;2006-08-10;183;40.00
458;2006-08-10;1268;39.96
459;2006-09-01;1268;41.45
460;2006-09-12;406;159.96
461;2006-09-13;179;7.25
462;2006-09-13;180;16.08
463;2006-10-15;20;104.80
464;2006-10-25;182;49.70
465;2006-10-25;183;42.93
466;2006-10-25;1269;101.25
467;2006-11-02;1268;42.90
469;2006-11-30;184;0.75
470;2007-01-02;1268;43.72
472;2007-02-22;186;0.91
474;2007-03-01;1268;44.03
475;2007-05-02;1268;45.27
476;2007-05-22;1270;52.22
477;2007-07-02;1268;45.74
479;2007-08-06;1270;52.60
480;2007-08-06;1269;99.81
481;2007-11-05;1268;44.84
483;2008-10-01;1268;31.63
484;2008-10-06;406;97.90
486;2009-01-12;1268;30.93
487;2009-09-06;115;40.34
490;2009-12-31;115;40.00
491;2010-02-24;177;6.02
492;2010-07-15;115;54.81
493;2010-08-15;115;55.34
494;2010-09-01;115;60.03
495;2010-09-15;115;57.42
496;2010-10-15;115;59.48
497;2010-11-15;115;60.40
498;2010-12-15;115;61.17
499;2010-12-31;115;45.16
500;2011-01-15;115;63.85
501;2011-02-15;115;63.73
502;2011-03-15;115;63.33
503;2011-04-15;115;64.22
504;2011-05-15;115;64.98
505;2011-06-15;115;63.95
506;2011-07-15;115;65.77
507;2011-08-15;115;64.12
508;2011-09-15;115;55.87
509;2011-10-15;115;57.57
510;2011-11-15;115;58.63
511;2011-12-15;115;59.73
512;2012-01-13;115;61.68
513;2012-02-15;115;64.93
514;2012-03-15;115;68.19
515;2012-04-15;115;68.45
516;2012-05-15;115;67.32
517;2012-06-15;115;63.49
518;2012-07-02;208;1.33
519;2012-07-04;208;1.35
520;2012-07-15;115;68.54
521;2012-08-14;115;72.80
522;2012-09-15;115;73.72
523;2012-10-15;115;72.22
524;2012-11-15;115;73.20
525;2012-12-14;115;73.20
526;2013-10-29;21;139.50
528;1997-12-31;168;33.30
529;1997-12-31;131;33.80
530;1997-12-31;842;66.57
531;1997-12-31;165;67.53
532;1997-12-31;1271;188.49
534;1997-12-31;1257;84.63
535;1997-12-31;164;145.10
537;1997-12-31;1272;100.00
538;1997-12-31;1273;100.00
539;1998-02-16;1271;182.81
540;1998-02-16;842;74.64
541;1998-02-16;165;75.11
542;1998-02-16;1257;79.26
544;1998-02-18;164;158.23
545;1998-04-15;168;41.32
554;1998-12-31;1272;100.00
555;1998-12-31;164;74.25
556;1998-12-31;1257;43.13
557;1998-12-31;1271;96.24
558;1998-12-31;842;34.05
559;1998-12-31;165;34.54
560;1998-12-31;131;17.28
561;1998-12-31;1273;102.65
562;1999-02-12;1273;102.35
564;1999-02-15;842;50.27
565;1999-02-15;165;47.79
566;1999-02-15;1271;89.34
567;1999-02-15;1257;41.02
568;1999-02-15;164;87.50
569;1999-02-19;1272;100.00
570;1999-04-19;1271;94.96
571;1999-04-19;1257;41.58
573;1999-07-26;131;17.95
574;1999-07-26;164;93.23
575;1999-07-26;842;63.50
576;1999-07-26;1257;41.38
577;1999-12-06;842;91.92
578;1999-12-28;842;100.63
579;2000-03-07;164;148.89
580;2000-03-07;842;128.41
581;2000-03-07;165;95.37
582;2000-04-17;161;27.00
583;2000-08-09;968;80.54
584;2000-08-09;971;57.83
585;2000-08-21;971;57.57
586;2000-09-05;968;85.82
587;2000-09-05;971;59.92
588;2000-10-06;968;79.87
589;2000-10-06;971;57.72
590;2000-11-05;971;57.05
591;2000-11-05;968;78.05
592;2000-12-05;968;69.31
593;2000-12-05;971;52.62
594;2001-01-05;968;65.31
595;2001-01-05;971;49.79
596;2001-02-05;968;63.15
597;2001-02-05;971;50.70
598;2001-02-16;968;59.81
599;2001-03-05;968;55.90
600;2001-03-05;971;46.45
601;2001-03-05;164;103.96
602;2001-03-05;842;59.56
603;2001-03-05;165;58.07
604;2001-04-05;968;51.66
605;2001-04-05;971;43.16
606;2001-05-05;968;56.00
607;2001-05-05;971;49.44
608;2001-06-05;968;55.36
609;2001-06-05;971;51.32
610;2001-06-13;164;106.31
611;2001-07-06;968;50.13
612;2001-07-06;971;49.37
613;2001-08-05;968;48.74
614;2001-08-05;971;46.59
615;2001-08-20;971;42.56
616;2001-09-05;968;45.08
617;2001-09-05;971;43.28
618;2001-10-01;1272;100.00
619;2001-10-05;968;41.68
620;2001-10-05;971;39.30
621;2001-10-29;882;98.00
622;2001-11-05;968;43.84
623;2001-11-05;971;40.72
624;2001-12-05;968;45.29
625;2001-12-05;971;43.85
626;2002-01-05;968;45.31
627;2002-01-05;971;44.79
628;2002-01-15;970;49.17
629;2002-02-05;968;42.76
630;2002-02-05;971;41.49
631;2002-02-14;941;19.11
632;2002-02-22;968;40.64
633;2002-02-22;941;18.20
634;2002-03-04;164;88.80
635;2002-03-04;165;46.77
636;2002-03-06;968;43.40
637;2002-03-06;971;43.96
638;2002-03-09;164;88.98
639;2002-04-08;971;43.37
640;2002-04-08;968;42.16
641;2002-04-22;970;48.21
642;2002-05-07;968;39.32
643;2002-05-07;971;39.50
644;2002-06-06;968;36.78
645;2002-06-06;971;38.74
646;2002-07-08;968;34.49
647;2002-07-08;971;34.73
648;2002-08-08;968;29.49
649;2002-08-08;971;29.88
650;2002-09-06;968;29.31
651;2002-09-06;971;31.04
652;2002-10-09;971;28.04
653;2002-10-09;968;27.33
654;2002-11-06;968;30.65
655;2002-11-06;971;30.70
656;2003-02-21;941;17.29
657;2003-02-21;968;26.00
659;2003-03-03;165;25.48
660;2003-03-03;164;52.66
661;2003-04-19;164;55.56
662;2003-04-22;970;40.22
663;2003-08-12;173;11.95
664;2003-08-20;971;30.17
665;2004-02-20;941;16.18
666;2004-02-20;968;33.41
667;2004-03-01;164;67.97
668;2004-03-01;842;28.28
669;2004-03-01;165;34.80
670;2004-03-16;882;98.30
671;2004-09-07;164;66.73
672;2004-09-07;842;25.05
673;2004-09-07;165;34.56
674;2004-09-16;112;39.49
676;2004-09-17;844;98.63
677;2004-10-05;112;40.76
679;2004-10-10;161;27.33
680;2005-11-08;112;50.38
